player_id, pitcher_hand, batter_hand, pitch_type, count, speed, h_mov, v_mov, h_rel, v_rel
476589, R, L, Fourseam, 480, 93.450000, -3.090000, 9.400000, -1.480000, 5.920000
476589, R, L, Sinker, 83, 92.940000, -8.130000, 6.580000, -1.680000, 5.790000
476589, R, L, Change, 218, 85.070000, -8.260000, 3.820000, -1.630000, 5.810000
476589, R, L, Slider, 329, 87.700000, 3.590000, 3.690000, -1.580000, 5.970000
476589, R, L, Curve, 165, 79.950000, 4.700000, -6.890000, -1.520000, 5.990000
573244, L, R, Fourseam, 6, 90.590000, 9.330000, 10.680000, 2.400000, 6.090000
573244, L, R, Sinker, 2, 89.280000, 11.360000, 7.910000, 2.470000, 6.030000
573244, L, R, Change, 13, 83.940000, 8.820000, 5.400000, 2.430000, 5.980000
573244, L, R, Slider, 1, 87.780000, 1.520000, 4.140000, 2.320000, 5.980000
573244, L, R, Curve, 1, 79.940000, 0.320000, -0.410000, 2.260000, 6.050000
573244, L, L, Fourseam, 8, 91.040000, 9.300000, 10.990000, 2.470000, 6.080000
573244, L, L, Sinker, 1, 90.950000, 10.950000, 7.550000, 2.520000, 5.930000
573244, L, L, Curve, 3, 80.730000, 0.170000, 1.240000, 2.390000, 6.000000
592665, R, R, Fourseam, 842, 93.220000, -2.350000, 9.580000, -2.390000, 5.970000
592665, R, R, Change, 1, 88.460000, -5.390000, -0.020000, -2.720000, 5.410000
592665, R, R, Slider, 405, 86.770000, 1.650000, 2.760000, -2.580000, 5.850000
592665, R, L, Fourseam, 694, 93.270000, -2.410000, 9.550000, -2.480000, 5.930000
592665, R, L, Change, 10, 85.790000, -5.810000, 5.580000, -2.750000, 5.620000
592665, R, L, Slider, 245, 86.890000, 1.970000, 2.700000, -2.580000, 5.860000
605288, R, R, Fourseam, 54, 95.390000, -3.870000, 8.230000, -2.250000, 6.300000
605288, R, R, Sinker, 14, 94.190000, -7.260000, 6.360000, -2.110000, 6.210000
605288, R, R, Change, 18, 84.850000, -6.820000, 3.160000, -2.120000, 6.210000
605288, R, R, Curve, 24, 83.070000, 4.060000, -7.400000, -2.170000, 6.340000
605288, R, L, Fourseam, 23, 95.740000, -5.020000, 7.950000, -2.280000, 6.220000
605288, R, L, Sinker, 17, 95.140000, -9.240000, 4.560000, -2.280000, 6.100000
605288, R, L, Change, 16, 85.230000, -6.620000, 4.050000, -2.370000, 6.140000
605288, R, L, Curve, 8, 83.370000, 3.540000, -8.640000, -2.140000, 6.360000
592716, R, R, Fourseam, 71, 93.050000, -8.180000, 7.100000, -2.670000, 5.980000
592716, R, R, Change, 5, 86.550000, -10.690000, 3.050000, -2.700000, 6.090000
592716, R, R, Slider, 40, 87.020000, 0.720000, -1.010000, -2.720000, 5.790000
592716, R, L, Fourseam, 49, 93.710000, -7.900000, 7.110000, -2.630000, 5.960000
592716, R, L, Change, 9, 89.030000, -9.480000, 2.290000, -2.770000, 5.840000
592716, R, L, Slider, 16, 86.770000, 1.530000, -1.090000, -2.740000, 5.820000
592570, R, R, Fourseam, 45, 93.910000, -5.050000, 11.300000, -0.540000, 6.270000
592570, R, R, Change, 14, 77.440000, -3.440000, 5.760000, -0.860000, 6.030000
592570, R, R, Slider, 23, 83.170000, 1.460000, 2.470000, -0.660000, 6.090000
592570, R, L, Fourseam, 38, 93.670000, -5.140000, 11.180000, -0.570000, 6.230000
592570, R, L, Change, 12, 77.520000, -3.070000, 6.990000, -0.840000, 6.060000
592570, R, L, Slider, 2, 83.130000, 1.160000, 1.560000, -0.660000, 5.960000
456379, R, R, Fourseam, 16, 93.160000, -5.500000, 9.410000, -0.600000, 5.720000
456379, R, R, Sinker, 253, 93.520000, -8.140000, 7.230000, -0.610000, 5.790000
456379, R, R, Slider, 420, 85.850000, 0.660000, 2.730000, -0.740000, 5.770000
456379, R, L, Fourseam, 106, 94.390000, -5.180000, 9.690000, -0.560000, 5.730000
456379, R, L, Sinker, 112, 93.640000, -7.620000, 7.720000, -0.600000, 5.740000
456379, R, L, Slider, 215, 86.390000, 0.880000, 2.510000, -0.680000, 5.770000
544150, R, R, Fourseam, 299, 93.050000, -5.380000, 7.350000, -1.790000, 6.090000
544150, R, R, Sinker, 94, 92.510000, -8.210000, 5.090000, -1.970000, 5.930000
544150, R, R, Change, 22, 84.510000, -8.290000, 6.280000, -1.960000, 5.730000
544150, R, R, Slider, 212, 79.350000, 2.810000, -1.220000, -1.850000, 5.780000
544150, R, R, Curve, 54, 75.990000, 7.720000, -5.150000, -1.710000, 5.990000
544150, R, L, Fourseam, 248, 93.040000, -5.370000, 7.330000, -1.730000, 6.130000
544150, R, L, Sinker, 136, 92.590000, -8.430000, 5.170000, -1.930000, 6.010000
544150, R, L, Change, 137, 84.050000, -8.690000, 4.340000, -1.910000, 5.840000
544150, R, L, Slider, 12, 79.110000, 4.040000, -1.130000, -1.720000, 5.880000
544150, R, L, Curve, 136, 75.740000, 7.900000, -5.390000, -1.750000, 5.990000
594742, R, R, Fourseam, 119, 91.440000, -3.770000, 10.130000, -1.850000, 6.320000
594742, R, R, Sinker, 84, 90.140000, -7.980000, 6.900000, -2.010000, 6.060000
594742, R, R, Change, 25, 82.300000, -5.690000, 7.550000, -2.040000, 6.130000
594742, R, R, Slider, 100, 83.620000, 2.430000, 1.860000, -1.940000, 6.240000
594742, R, R, Curve, 28, 79.450000, 3.800000, -4.520000, -1.950000, 5.950000
594742, R, L, Fourseam, 113, 91.100000, -3.920000, 10.130000, -1.830000, 6.260000
594742, R, L, Sinker, 191, 90.530000, -7.590000, 7.200000, -1.960000, 6.150000
594742, R, L, Change, 107, 82.450000, -5.850000, 7.760000, -1.970000, 6.170000
594742, R, L, Slider, 59, 83.310000, 2.800000, 1.140000, -1.960000, 6.190000
594742, R, L, Curve, 23, 79.410000, 4.290000, -4.200000, -1.960000, 6.010000
621219, R, R, Fourseam, 30, 92.750000, -7.570000, 8.620000, -3.290000, 5.980000
621219, R, R, Sinker, 18, 92.400000, -8.840000, 5.060000, -3.380000, 5.990000
621219, R, R, Change, 3, 81.370000, -7.010000, 1.350000, -3.280000, 5.640000
621219, R, R, Slider, 11, 80.210000, 5.720000, -2.140000, -3.340000, 5.870000
621219, R, R, Curve, 6, 77.480000, 6.350000, -8.330000, -3.230000, 5.880000
621219, R, L, Fourseam, 23, 92.740000, -7.250000, 8.740000, -3.240000, 5.960000
621219, R, L, Sinker, 25, 93.100000, -9.250000, 5.080000, -3.370000, 5.920000
621219, R, L, Change, 14, 79.980000, -9.660000, 1.600000, -3.420000, 5.660000
621219, R, L, Slider, 1, 81.190000, 3.940000, -1.720000, -3.400000, 5.830000
621219, R, L, Curve, 9, 74.820000, 6.350000, -8.310000, -3.210000, 5.790000
592222, L, R, Fourseam, 1, 89.380000, 11.920000, 2.490000, 3.490000, 4.290000
592222, L, R, Sinker, 359, 86.590000, 11.350000, -3.470000, 3.470000, 4.410000
592222, L, R, Change, 253, 68.790000, 12.350000, -2.880000, 3.340000, 4.470000
592222, L, R, Slider, 62, 74.870000, -1.930000, 0.700000, 3.470000, 4.760000
592222, L, R, Cutter, 62, 80.430000, 2.730000, 2.020000, 3.580000, 4.710000
592222, L, L, Sinker, 212, 86.320000, 11.420000, -3.290000, 3.470000, 4.390000
592222, L, L, Change, 27, 69.270000, 11.990000, -2.160000, 3.300000, 4.480000
592222, L, L, Slider, 103, 75.550000, -1.250000, 0.450000, 3.390000, 4.730000
592222, L, L, Cutter, 39, 79.940000, 2.150000, 2.500000, 3.490000, 4.710000
502171, R, R, Fourseam, 1, 91.390000, -6.660000, 12.300000, -1.880000, 6.090000
502171, R, R, Sinker, 110, 91.040000, -8.030000, 9.090000, -1.990000, 6.040000
502171, R, R, Curve, 43, 80.620000, 3.420000, -9.200000, -2.020000, 6.080000
502171, R, R, Split, 54, 85.800000, -6.680000, 8.640000, -2.110000, 6.180000
502171, R, L, Fourseam, 1, 91.220000, -5.090000, 10.660000, -1.870000, 6.010000
502171, R, L, Sinker, 74, 90.830000, -7.760000, 9.060000, -1.990000, 6.050000
502171, R, L, Curve, 44, 80.110000, 4.000000, -9.240000, -1.990000, 6.080000
502171, R, L, Split, 59, 85.660000, -6.820000, 8.870000, -2.110000, 6.180000
517008, R, R, Fourseam, 634, 95.480000, -1.680000, 10.940000, -1.320000, 6.330000
517008, R, R, Change, 22, 88.040000, -3.350000, 6.370000, -1.580000, 6.150000
517008, R, R, Curve, 71, 81.690000, 5.100000, -0.810000, -1.460000, 6.160000
517008, R, R, Cutter, 527, 89.310000, 2.170000, 3.790000, -1.560000, 6.180000
517008, R, L, Fourseam, 719, 95.290000, -1.410000, 10.760000, -1.400000, 6.330000
517008, R, L, Change, 192, 86.470000, -3.800000, 6.830000, -1.470000, 6.160000
517008, R, L, Curve, 90, 80.420000, 5.740000, -0.520000, -1.590000, 6.140000
517008, R, L, Cutter, 266, 88.470000, 2.360000, 3.240000, -1.450000, 6.240000
543542, R, R, Fourseam, 171, 96.380000, -7.860000, 8.250000, -2.430000, 5.620000
543542, R, R, Sinker, 28, 95.600000, -10.080000, 5.890000, -2.560000, 5.540000
543542, R, R, Change, 18, 89.670000, -9.460000, 4.500000, -2.520000, 5.560000
543542, R, R, Curve, 116, 85.120000, 3.060000, -3.520000, -2.410000, 5.540000
