player_id, year, pitcher_hand, plate_appearences, hits, doubles, triples, home_runs, walks, strikeouts, intentional_walks, hit_by_pitch
465784.0, 2014, L, 92, 21, 5, 0, 1, 5, 21, 0, 0
465784.0, 2014, R, 299, 62, 8, 1, 2, 15, 65, 0, 1
465784.0, 2015, L, 31, 4, 0, 0, 0, 2, 8, 0, 0
465784.0, 2015, R, 74, 16, 2, 0, 0, 3, 14, 0, 1
466320.0, 2014, L, 166, 42, 9, 1, 5, 13, 15, 2, 1
466320.0, 2014, R, 455, 129, 26, 2, 11, 30, 52, 1, 2
466320.0, 2015, L, 181, 41, 10, 0, 2, 7, 27, 0, 0
466320.0, 2015, R, 502, 131, 26, 2, 10, 33, 61, 2, 2
408234.0, 2014, L, 176, 46, 16, 1, 6, 18, 35, 2, 0
408234.0, 2014, R, 509, 145, 36, 0, 19, 42, 82, 8, 3
408234.0, 2015, L, 103, 25, 4, 0, 5, 21, 13, 2, 2
408234.0, 2015, R, 408, 120, 24, 1, 13, 56, 69, 13, 1
456715.0, 2014, L, 143, 42, 12, 0, 3, 8, 31, 1, 1
456715.0, 2014, R, 359, 100, 17, 4, 2, 16, 77, 1, 3
456715.0, 2015, L, 202, 62, 20, 1, 7, 13, 28, 4, 4
456715.0, 2015, R, 402, 107, 14, 5, 9, 24, 70, 0, 8
594777.0, 2014, L, 116, 26, 6, 1, 2, 9, 25, 0, 2
594777.0, 2014, R, 421, 108, 25, 2, 15, 29, 79, 0, 0
594777.0, 2015, L, 224, 44, 6, 0, 8, 17, 58, 0, 4
594777.0, 2015, R, 462, 117, 17, 2, 18, 28, 106, 1, 1
430948.0, 2014, L, 164, 29, 5, 0, 1, 14, 20, 0, 1
430948.0, 2014, R, 287, 61, 10, 0, 3, 26, 30, 1, 0
430948.0, 2015, L, 43, 6, 1, 0, 0, 3, 9, 0, 0
430948.0, 2015, R, 218, 48, 6, 0, 1, 25, 25, 1, 0
542999.0, 2014, L, 11, 2, 0, 0, 0, 0, 3, 0, 1
542999.0, 2014, R, 65, 12, 1, 1, 0, 0, 13, 0, 0
493472.0, 2014, L, 105, 23, 4, 0, 2, 10, 28, 0, 1
493472.0, 2014, R, 106, 27, 5, 0, 1, 7, 27, 0, 0
493472.0, 2015, L, 43, 5, 2, 0, 1, 7, 7, 0, 1
